session,input,protocol,rows,threads,samples,original_ms,final_ms,original_p10_ms,original_p90_ms,final_p10_ms,final_p90_ms,saved_percent
2,u32,skip-3,4096,10,21,0.450542,0.4695,0.447541,0.469083,0.454708,0.472792,-4.207820802500106
2,u32,skip-3,32768,10,21,3.450583,0.937791,3.396209,3.50575,0.889083,1.00375,72.82224482065784
2,u32,skip-3,131072,10,21,13.312542,2.602042,13.163042,13.467042,2.362792,3.367375,80.45420626654173
2,u32,skip-3,524288,10,21,52.09775,8.469084,51.247209,52.795167,7.822959,9.685875,83.74385841998935
2,u32,skip-4,4096,10,21,0.616125,0.615375,0.598958,0.643875,0.596708,0.640875,0.12172854534387989
2,u32,skip-4,32768,10,21,4.645375,4.549583,4.541667,4.749167,4.521917,4.604417,2.062094018243954
2,u32,skip-4,131072,10,21,18.016417,4.222208,17.906167,18.102166,3.231625,6.001916,76.56466321799724
2,u32,skip-4,524288,10,21,70.998375,10.457708,70.404833,72.448584,9.802584,11.83275,85.27049668390298
2,u32,zero,4096,10,21,0.372959,0.372625,0.368708,0.401417,0.369,0.384,0.08955407967095041
2,u32,zero,32768,10,21,1.742666,1.126709,1.628917,1.926584,1.024916,1.366417,35.345671517089336
2,u32,zero,131072,10,21,4.75825,2.638875,4.504667,5.161291,2.47275,3.301791,44.54106026375243
2,u32,zero,524288,10,21,16.596542,7.667792,16.380541,17.743125,7.193,12.169875,53.798857617448256
2,u64,ordinary,4096,10,21,0.45525,0.455917,0.440959,0.467167,0.454041,0.480958,-0.14651290499725356
2,u64,ordinary,32768,10,21,1.771333,1.193417,1.699292,1.884625,1.1005,1.348,32.62605055063052
2,u64,ordinary,131072,10,21,5.205417,3.186083,5.069167,5.683042,2.851583,3.901291,38.79293436049408
2,u64,ordinary,524288,10,21,19.080333,8.933292,18.453083,19.883417,8.426083,12.135041,53.180628451295895
2,u64,skip-1,4096,10,21,0.399209,0.405417,0.390292,0.416792,0.3895,0.423958,-1.5550751611311364
2,u64,skip-1,32768,10,21,2.56575,1.015417,2.495542,2.643542,0.972,1.166208,60.424164474325245
2,u64,skip-1,131072,10,21,8.721167,2.447291,8.644625,9.0015,2.367542,2.579458,71.93849171790885
2,u64,skip-1,524288,10,21,33.141333,7.805542,32.530667,33.495,7.475041,9.962292,76.4477125889897
2,u64,skip-2,4096,10,21,0.414458,0.425291,0.413834,0.437125,0.41525,0.457625,-2.6137750990450126
2,u64,skip-2,32768,10,21,3.168292,1.082709,3.102375,3.229542,0.998292,1.174292,65.82672935449132
2,u64,skip-2,131072,10,21,11.393375,2.371875,11.187833,11.575458,2.322625,2.558542,79.1819807563606
2,u64,skip-2,524288,10,21,43.5495,8.199875,42.96875,46.587,7.66725,11.2365,81.17113858942123
2,u64,skip-3,4096,10,21,0.49425,0.508834,0.488709,0.510416,0.498042,0.518208,-2.9507334344967218
2,u64,skip-3,32768,10,21,3.797959,0.915917,3.689125,3.866208,0.873833,1.027667,75.88396820502801
2,u64,skip-3,131072,10,21,14.312542,2.770792,14.230542,14.4515,2.566458,3.154958,80.64081139464953
2,u64,skip-3,524288,10,21,56.39,8.694083,55.810167,57.333292,8.465958,10.558958,84.5822255719099
2,u64,skip-4,4096,10,21,0.668417,0.670292,0.658792,0.705625,0.661833,0.706875,-0.280513511774827
2,u64,skip-4,32768,10,21,5.13375,5.1335,5.065125,5.233667,5.099834,5.213541,0.00486973459946638
2,u64,skip-4,131072,10,21,20.09975,3.410583,19.894416,20.31175,3.143167,4.319667,83.03171432480502
2,u64,skip-4,524288,10,21,79.130417,11.285334,78.379208,80.324083,10.845625,11.824541,85.7383109708622
2,u64,zero,4096,10,21,0.394916,0.394958,0.394458,0.3995,0.392292,0.400375,-0.010635173049466928
2,u64,zero,32768,10,21,1.666208,1.099166,1.621042,1.788625,1.05175,1.233,34.03188557491021
2,u64,zero,131072,10,21,5.220916,2.489875,5.051042,5.476458,2.370375,3.056834,52.30961386852422
2,u64,zero,524288,10,21,17.882083,7.688917,17.414,18.518125,7.566458,11.594791,57.00211770630972
