session,input,protocol,rows,threads,samples,baseline_ms,candidate_ms,p10_ms,p90_ms,saved_percent
1,u32,ordinary,4096,10,21,0.4465,0.446042,0.420708,0.460833,0.10257558790593979
1,u32,ordinary,32768,1,21,3.422458,3.381583,3.233041,4.109333,1.1943170668566316
1,u32,ordinary,32768,4,21,1.755542,1.293292,1.276166,1.343166,26.330899517072226
1,u32,ordinary,32768,10,21,1.672333,1.172583,1.037708,1.254041,29.883402408491612
1,u32,ordinary,131072,1,21,13.022792,13.052417,12.752375,13.524458,-0.22748578031499544
1,u32,ordinary,131072,4,21,5.795959,3.890125,3.825083,3.980791,32.882116660935665
1,u32,ordinary,131072,10,21,4.809666,2.629333,2.418667,2.772209,45.332316214888934
1,u32,ordinary,524288,1,21,51.462,51.810125,50.857584,52.455459,-0.6764700167113613
1,u32,ordinary,524288,4,21,21.9055,14.007333,13.883125,14.631959,36.055634429709436
1,u32,ordinary,524288,10,21,17.650875,8.609333,7.857792,9.149958,51.224327405865154
1,u32,skip-1,4096,1,21,0.383,0.40225,0.378,0.42425,-5.026109660574418
1,u32,skip-1,4096,4,21,0.3735,0.370958,0.370458,0.385416,0.6805890227576938
1,u32,skip-1,4096,10,21,0.395125,0.394709,0.382708,0.401583,0.10528313824739177
1,u32,skip-1,32768,1,21,2.917708,2.892958,2.82275,3.006542,0.8482685724548134
1,u32,skip-1,32768,4,21,2.560041,1.277041,1.224958,1.443667,50.11638485477381
1,u32,skip-1,32768,10,21,2.744958,1.209,1.029083,1.373209,55.95561024977431
1,u32,skip-1,131072,1,21,11.480417,11.603375,11.251708,11.881208,-1.0710238138562422
1,u32,skip-1,131072,4,21,8.9475,3.6155,3.550916,3.740042,59.59206482257614
1,u32,skip-1,131072,10,21,8.631917,2.432666,2.246333,2.695416,71.8177781366526
1,u32,skip-1,524288,1,21,46.570333,46.35075,44.947167,46.735292,0.47150833128034586
1,u32,skip-1,524288,4,21,35.777375,13.280583,12.781,13.6865,62.87994018566203
1,u32,skip-1,524288,10,21,33.024708,7.662834,7.053459,9.02325,76.79666387966246
1,u32,skip-2,4096,1,21,0.413833,0.405,0.389833,0.436792,2.134435871474727
1,u32,skip-2,4096,4,21,0.383042,0.383167,0.382291,0.396875,-0.03263349710997954
1,u32,skip-2,4096,10,21,0.407291,0.406875,0.394333,0.415208,0.10213827459972791
1,u32,skip-2,32768,1,21,3.002291,3.004959,2.932917,3.0865,-0.08886546973627674
1,u32,skip-2,32768,4,21,2.868541,1.253667,1.199916,1.378834,56.29600553033755
1,u32,skip-2,32768,10,21,2.983042,1.049209,0.923583,1.255375,64.8275485226155
1,u32,skip-2,131072,1,21,12.173917,12.121792,11.717916,12.435709,0.4281695037020583
1,u32,skip-2,131072,4,21,10.599209,4.372667,3.624834,4.807084,58.745345997045625
1,u32,skip-2,131072,10,21,10.684792,2.416458,2.161917,2.943333,77.38413625646619
1,u32,skip-2,524288,1,21,47.611958,48.688667,47.200125,49.24825,-2.2614255855640364
1,u32,skip-2,524288,4,21,43.477583,17.000625,15.23175,22.992792,60.89795285998304
1,u32,skip-2,524288,10,21,41.089042,7.371959,6.985,8.356667,82.05857659080978
1,u32,skip-3,4096,1,21,0.455125,0.455083,0.450375,0.471125,0.009228234001645852
1,u32,skip-3,4096,4,21,0.441583,0.442292,0.441083,0.465625,-0.16055871716076364
1,u32,skip-3,4096,10,21,0.469917,0.470042,0.463417,0.475083,-0.026600442205748642
1,u32,skip-3,32768,1,21,3.527791,3.53825,3.407833,3.64825,-0.29647447935550186
1,u32,skip-3,32768,4,21,3.415292,1.197416,1.176875,1.248584,64.93957178478443
1,u32,skip-3,32768,10,21,3.477167,0.97175,0.866125,1.136625,72.05339864320581
1,u32,skip-3,131072,1,21,14.191834,14.114167,13.690459,14.502209,0.5472654203818927
1,u32,skip-3,131072,4,21,13.19675,4.178083,4.033042,4.269416,68.34006099986739
1,u32,skip-3,131072,10,21,13.342583,2.512875,2.385458,2.937083,81.16650276786737
1,u32,skip-3,524288,1,21,56.671916,56.927375,55.806459,62.009209,-0.4507682429512272
1,u32,skip-3,524288,4,21,54.283209,16.1395,15.5195,16.67125,70.26796997207737
1,u32,skip-3,524288,10,21,52.032375,8.108458,7.686583,8.897417,84.4165137570599
1,u32,skip-4,4096,1,21,0.596792,0.599416,0.59075,0.636625,-0.43968417807209725
1,u32,skip-4,4096,4,21,0.578791,0.578625,0.578375,0.585334,0.028680473607922696
1,u32,skip-4,4096,10,21,0.592041,0.592208,0.589417,0.6085,-0.0282075058990916
1,u32,skip-4,32768,1,21,4.613667,4.59225,4.510458,4.809,0.46420775491599064
1,u32,skip-4,32768,4,21,4.523417,4.477334,4.437875,4.593209,1.0187652387564583
1,u32,skip-4,32768,10,21,4.525542,4.545291,4.427125,4.60125,-0.4363897186237642
1,u32,skip-4,131072,1,21,18.502417,18.350333,18.08375,18.82525,0.8219682866297928
1,u32,skip-4,131072,4,21,18.123625,5.383458,5.129,5.606583,70.29590934484685
1,u32,skip-4,131072,10,21,17.993167,3.002833,2.851292,3.434292,83.31125921301125
1,u32,skip-4,524288,1,21,73.062375,72.298709,71.188042,75.393541,1.0452247138147408
1,u32,skip-4,524288,4,21,73.237792,20.471916,19.758542,20.728333,72.04733315826888
1,u32,skip-4,524288,10,21,71.352583,10.359209,9.771209,11.175834,85.48166224059472
1,u32,zero,4096,1,21,0.400375,0.388833,0.367708,0.406167,2.8827973774586346
1,u32,zero,4096,4,21,0.360292,0.360792,0.360125,0.373667,-0.13877632586902777
1,u32,zero,4096,10,21,0.373917,0.373167,0.372167,0.38375,0.2005792729402489
1,u32,zero,32768,1,21,2.858834,2.837625,2.759583,2.946084,0.7418758836644557
1,u32,zero,32768,4,21,1.6675,1.20175,1.185,1.325708,27.93103448275862
1,u32,zero,32768,10,21,1.653084,1.195167,1.038417,1.323375,27.70077019679581
1,u32,zero,131072,1,21,11.340208,11.403375,11.06875,11.7195,-0.5570180017862025
1,u32,zero,131072,4,21,5.418541,3.492708,3.447625,3.536916,35.54154153304368
1,u32,zero,131072,10,21,4.614291,2.352,2.253584,2.6075,49.02792216615727
1,u32,zero,524288,1,21,45.244542,45.202542,44.219958,45.756458,0.09282887646425708
1,u32,zero,524288,4,21,20.217083,12.294125,12.191208,13.047875,39.18942213374699
1,u32,zero,524288,10,21,16.680833,7.638167,7.065292,8.409416,54.20991865334304
1,u64,ordinary,4096,1,21,0.45025,0.452167,0.435833,0.476209,-0.4257634647418129
1,u64,ordinary,4096,4,21,0.426541,0.426916,0.426375,0.430875,-0.08791651916228993
1,u64,ordinary,4096,10,21,0.438458,0.440125,0.435125,0.461459,-0.38019605070496176
1,u64,ordinary,32768,1,21,3.288792,3.273458,3.228583,3.356875,0.4662502219660025
1,u64,ordinary,32768,4,21,1.872125,1.32675,1.315875,1.359667,29.131334713226952
1,u64,ordinary,32768,10,21,1.722166,1.12875,1.049917,1.265,34.45753777510414
1,u64,ordinary,131072,1,21,13.321167,13.344042,13.101292,13.863542,-0.17171918946741194
1,u64,ordinary,131072,4,21,6.190167,4.030708,3.979833,4.173209,34.88531084864108
1,u64,ordinary,131072,10,21,5.251792,2.696417,2.58825,2.9275,48.657201199133546
1,u64,ordinary,524288,1,21,53.083,52.631459,51.833125,54.595042,0.8506320290865288
1,u64,ordinary,524288,4,21,24.19525,15.278625,14.419458,15.647875,36.852791353674796
1,u64,ordinary,524288,10,21,18.926625,8.662167,8.142,9.628125,54.23290206257059
1,u64,skip-1,4096,1,21,0.418958,0.415834,0.388292,0.43175,0.7456594694456253
1,u64,skip-1,4096,4,21,0.379916,0.380125,0.379542,0.396709,-0.05501216058285685
1,u64,skip-1,4096,10,21,0.387708,0.387792,0.387375,0.392916,-0.02166578971802835
1,u64,skip-1,32768,1,21,2.896625,2.884125,2.878083,2.959125,0.4315367021965222
1,u64,skip-1,32768,4,21,2.582709,1.274375,1.224209,1.282708,50.657429853692385
1,u64,skip-1,32768,10,21,2.556291,0.981375,0.959708,1.172125,61.60941770713897
1,u64,skip-1,131072,1,21,11.909292,12.061208,11.6325,12.342083,-1.2756089950603178
1,u64,skip-1,131072,4,21,9.237417,3.639833,3.583334,3.728625,60.596852994727854
1,u64,skip-1,131072,10,21,8.921459,2.413584,2.279042,2.593625,72.9463084457374
1,u64,skip-1,524288,1,21,46.041542,46.106916,45.495334,46.390959,-0.14198916274350548
1,u64,skip-1,524288,4,21,35.511917,13.089041,12.915959,13.26175,63.141834894466555
1,u64,skip-1,524288,10,21,34.325875,7.725625,7.3625,8.809167,77.4932904113879
1,u64,skip-2,4096,1,21,0.432584,0.4475,0.415667,1.209666,-3.4481164351894744
1,u64,skip-2,4096,4,21,0.406625,0.406916,0.406292,0.409417,-0.07156470949891691
1,u64,skip-2,4096,10,21,0.415,0.414875,0.407,0.422709,0.030120481927708997
1,u64,skip-2,32768,1,21,3.154167,3.192292,3.067833,3.264709,-1.2087184984181265
1,u64,skip-2,32768,4,21,3.06575,1.307833,1.24175,1.373667,57.34052026420942
1,u64,skip-2,32768,10,21,3.18675,1.080667,0.945875,1.230042,66.08874244920374
1,u64,skip-2,131072,1,21,12.925334,12.946959,12.596375,13.319667,-0.1673070885440886
1,u64,skip-2,131072,4,21,11.391375,3.860458,3.760125,4.111916,66.11069339741691
1,u64,skip-2,131072,10,21,11.4595,2.375542,2.233417,2.543333,79.27010777084516
1,u64,skip-2,524288,1,21,49.627791,51.141959,49.036041,52.500542,-3.0510485546294097
1,u64,skip-2,524288,4,21,44.694833,14.280959,13.82775,14.690125,68.0478524217777
1,u64,skip-2,524288,10,21,43.947042,7.614792,7.314583,8.283166,82.67279968467503
1,u64,skip-3,4096,1,21,0.522708,0.528458,0.4915,0.552916,-1.1000405580170902
1,u64,skip-3,4096,4,21,0.481417,0.481542,0.481333,0.483667,-0.02596501577634136
1,u64,skip-3,4096,10,21,0.494583,0.494042,0.491166,0.503083,0.10938507793434304
1,u64,skip-3,32768,1,21,3.754792,3.776375,3.671083,3.876,-0.574812133401803
1,u64,skip-3,32768,4,21,3.692,1.301917,1.270541,1.346917,64.73680931744312
1,u64,skip-3,32768,10,21,3.744459,0.986459,0.911333,1.027584,73.65550003351619
1,u64,skip-3,131072,1,21,15.435833,15.4415,14.849583,15.888709,-0.036713276180178056
1,u64,skip-3,131072,4,21,14.624708,4.451042,4.369667,4.528917,69.56491712518294
1,u64,skip-3,131072,10,21,15.419958,3.094167,2.55425,5.381625,79.93401149341652
1,u64,skip-3,524288,1,21,58.940084,59.042334,58.716791,59.382625,-0.17348125937519665
1,u64,skip-3,524288,4,21,58.329209,16.682,16.493375,17.678167,71.4002636312109
1,u64,skip-3,524288,10,21,57.034167,8.686625,8.3045,9.655166,84.76943653792647
1,u64,skip-4,4096,1,21,0.695041,0.694166,0.664167,0.753708,0.1258918538618592
1,u64,skip-4,4096,4,21,0.649416,0.649458,0.649166,0.652,-0.006467349125993671
1,u64,skip-4,4096,10,21,0.662458,0.6625,0.649959,0.671,-0.0063400245751354944
1,u64,skip-4,32768,1,21,5.089041,5.120333,5.039917,5.182458,-0.6148899173734401
1,u64,skip-4,32768,4,21,5.082083,5.056875,4.9995,5.161208,0.4960170859074964
1,u64,skip-4,32768,10,21,5.123542,5.147958,5.010375,5.371333,-0.47654532743168776
1,u64,skip-4,131072,1,21,20.949166,21.343084,20.497625,21.650333,-1.8803517046931617
1,u64,skip-4,131072,4,21,20.182208,5.76675,5.720208,5.931541,71.4265654184121
1,u64,skip-4,131072,10,21,20.51625,3.314541,3.147333,3.753291,83.844313653811
1,u64,skip-4,524288,1,21,80.787542,80.704625,80.057625,81.602792,0.10263587422921772
1,u64,skip-4,524288,4,21,83.085292,22.401542,21.689542,23.211209,73.0378970082936
1,u64,skip-4,524288,10,21,80.472209,11.560584,11.146583,12.453958,85.63406653842446
1,u64,zero,4096,1,21,0.394042,0.403708,0.377292,0.413375,-2.453038001025276
1,u64,zero,4096,4,21,0.369916,0.370291,0.369625,0.389792,-0.10137436607229322
1,u64,zero,4096,10,21,0.377416,0.37925,0.376416,0.389666,-0.4859359433622368
1,u64,zero,32768,1,21,2.8425,2.848833,2.789875,2.924167,-0.2227968337730868
1,u64,zero,32768,4,21,1.712583,1.216958,1.200875,1.294541,28.940203190151948
1,u64,zero,32768,10,21,1.681625,1.053459,1.001541,1.161125,37.35470155355682
1,u64,zero,131072,1,21,11.65675,11.732625,11.434833,11.939,-0.6509104167113478
1,u64,zero,131072,4,21,5.694209,3.561208,3.53475,3.62275,37.459127334455054
1,u64,zero,131072,10,21,4.922166,2.481333,2.316333,2.656625,49.5885957523578
1,u64,zero,524288,1,21,44.779709,44.768084,44.40375,46.701584,0.025960418813797403
1,u64,zero,524288,4,21,21.679583,12.676709,12.561333,13.571167,41.526970329641486
1,u64,zero,524288,10,21,18.258334,8.078417,7.632875,10.1135,55.75490622528868
2,field,ordinary,4096,1,21,0.317083,0.317125,0.316375,0.322416,-0.013245743228118556
2,field,ordinary,4096,4,21,0.326792,0.327625,0.323,0.370625,-0.2549022007882762
2,field,ordinary,4096,10,21,0.325292,0.329042,0.322875,0.34025,-1.152810398042381
2,field,ordinary,32768,1,21,2.428459,2.424125,2.392,2.515125,0.17846708550566248
2,field,ordinary,32768,4,21,1.410416,1.101042,1.082375,1.132334,21.93494685255981
2,field,ordinary,32768,10,21,1.565,1.242125,1.165375,1.393542,20.63099041533546
2,field,ordinary,131072,1,21,9.540709,9.571125,9.413167,10.051334,-0.3188023028477316
2,field,ordinary,131072,4,21,4.512958,3.148083,3.099083,3.265292,30.24346780980457
2,field,ordinary,131072,10,21,4.832542,3.222042,2.342458,4.014583,33.32614594968859
2,field,ordinary,524288,1,21,38.928167,38.791041,37.799583,39.53425,0.3522539347922571
2,field,ordinary,524288,4,21,17.092125,11.229875,10.7535,11.7175,34.2979588553208
2,field,ordinary,524288,10,21,14.713083,8.72125,6.820458,10.306625,40.724523881228706
2,field,skip-1,4096,1,21,0.461625,0.45875,0.4565,0.487667,0.6227998916869759
2,field,skip-1,4096,4,21,0.471417,0.471958,0.465291,0.497083,-0.11476039260358561
2,field,skip-1,4096,10,21,0.467708,0.46775,0.465167,0.495917,-0.008979961856536711
2,field,skip-1,32768,1,21,3.555334,3.527167,3.472833,3.606625,0.7922462418439413
2,field,skip-1,32768,4,21,3.240667,1.423708,1.376209,1.473667,56.06743920310233
2,field,skip-1,32768,10,21,3.523834,1.411083,1.27675,1.619708,59.95603084594791
