family,size,variant,rep,iterations,ns,bytes
products,16,karatsuba_barrett,18,262144,27.896,768
products,16,schoolbook,18,262144,43.454,768
products,16,shared,18,262144,16.698,768
products,16,flock,19,262144,16.246,768
products,16,karatsuba,19,262144,50.878,768
products,16,shared,19,262144,16.713,768
products,16,karatsuba_barrett,19,262144,27.967,768
products,16,schoolbook,19,262144,43.596,768
products,16,shared,20,262144,16.691,768
products,16,schoolbook,20,262144,43.392,768
products,16,flock,20,262144,16.383,768
products,16,karatsuba,20,262144,50.594,768
products,16,karatsuba_barrett,20,262144,28.256,768
products,16,flock,21,262144,16.672,768
products,16,karatsuba,21,262144,51.077,768
products,16,schoolbook,21,262144,43.353,768
products,16,karatsuba_barrett,21,262144,27.938,768
products,16,shared,21,262144,16.655,768
products,16,shared,22,262144,17.157,768
products,16,flock,22,262144,16.205,768
products,16,karatsuba,22,262144,51.447,768
products,16,karatsuba_barrett,22,262144,28.100,768
products,16,schoolbook,22,262144,43.332,768
products,16,karatsuba,23,262144,51.419,768
products,16,shared,23,262144,16.676,768
products,16,flock,23,262144,16.637,768
products,16,schoolbook,23,262144,43.479,768
products,16,karatsuba_barrett,23,262144,28.152,768
dot,1024,wide2,0,4096,701.731,32768
dot,1024,wide4,0,4096,702.932,32768
dot,1024,wide16,0,4096,1131.297,32768
dot,1024,wide8,0,4096,747.508,32768
dot,1024,wide1,0,4096,706.309,32768
dot,1024,flock,0,4096,862.010,32768
dot,1024,shared,0,4096,890.259,32768
dot,1024,vec2,0,4096,1729.472,32768
dot,1024,wide16,1,4096,1114.563,32768
dot,1024,wide1,1,4096,694.295,32768
dot,1024,shared,1,4096,867.167,32768
dot,1024,vec2,1,4096,1701.915,32768
dot,1024,flock,1,4096,863.739,32768
dot,1024,wide4,1,4096,696.269,32768
dot,1024,wide8,1,4096,762.675,32768
dot,1024,wide2,1,4096,698.751,32768
dot,1024,vec2,2,4096,1724.080,32768
dot,1024,wide16,2,4096,1103.394,32768
dot,1024,wide2,2,4096,706.289,32768
dot,1024,wide1,2,4096,694.204,32768
dot,1024,shared,2,4096,878.113,32768
dot,1024,wide4,2,4096,696.594,32768
dot,1024,wide8,2,4096,738.810,32768
dot,1024,flock,2,4096,879.486,32768
dot,1024,shared,3,4096,857.086,32768
dot,1024,wide1,3,4096,694.122,32768
dot,1024,wide2,3,4096,701.335,32768
dot,1024,wide8,3,4096,735.830,32768
dot,1024,wide16,3,4096,1127.879,32768
dot,1024,flock,3,4096,862.722,32768
dot,1024,wide4,3,4096,733.409,32768
dot,1024,vec2,3,4096,1711.039,32768
dot,1024,vec2,4,4096,1725.169,32768
dot,1024,shared,4,4096,874.888,32768
dot,1024,flock,4,4096,857.971,32768
dot,1024,wide1,4,4096,699.158,32768
dot,1024,wide2,4,4096,705.841,32768
dot,1024,wide4,4,4096,695.628,32768
dot,1024,wide8,4,4096,740.672,32768
dot,1024,wide16,4,4096,1100.342,32768
dot,1024,wide1,5,4096,697.520,32768
dot,1024,flock,5,4096,898.132,32768
dot,1024,wide16,5,4096,1101.766,32768
dot,1024,wide2,5,4096,709.656,32768
dot,1024,wide4,5,4096,700.562,32768
dot,1024,wide8,5,4096,744.110,32768
dot,1024,vec2,5,4096,1717.601,32768
dot,1024,shared,5,4096,863.942,32768
dot,1024,wide8,6,4096,736.226,32768
dot,1024,wide16,6,4096,1109.812,32768
dot,1024,flock,6,4096,857.768,32768
dot,1024,vec2,6,4096,1707.784,32768
dot,1024,wide4,6,4096,695.190,32768
dot,1024,wide1,6,4096,725.494,32768
dot,1024,wide2,6,4096,712.504,32768
dot,1024,shared,6,4096,878.042,32768
dot,1024,vec2,7,4096,1721.201,32768
dot,1024,wide8,7,4096,754.069,32768
dot,1024,shared,7,4096,857.574,32768
dot,1024,wide16,7,4096,1107.859,32768
dot,1024,wide2,7,4096,696.777,32768
dot,1024,wide1,7,4096,694.580,32768
dot,1024,wide4,7,4096,708.272,32768
dot,1024,flock,7,4096,861.328,32768
dot,1024,wide1,8,4096,694.000,32768
dot,1024,flock,8,4096,863.983,32768
dot,1024,vec2,8,4096,1739.339,32768
dot,1024,shared,8,4096,875.448,32768
dot,1024,wide8,8,4096,748.861,32768
dot,1024,wide2,8,4096,705.424,32768
dot,1024,wide16,8,4096,1100.210,32768
dot,1024,wide4,8,4096,705.343,32768
dot,1024,wide16,9,4096,1105.825,32768
dot,1024,flock,9,4096,893.219,32768
dot,1024,wide1,9,4096,701.802,32768
dot,1024,wide2,9,4096,696.381,32768
dot,1024,vec2,9,4096,1720.530,32768
dot,1024,shared,9,4096,858.714,32768
dot,1024,wide4,9,4096,698.812,32768
dot,1024,wide8,9,4096,738.139,32768
dot,1024,shared,10,4096,889.180,32768
dot,1024,wide8,10,4096,741.191,32768
dot,1024,wide16,10,4096,1133.698,32768
dot,1024,wide2,10,4096,694.946,32768
dot,1024,vec2,10,4096,1717.438,32768
dot,1024,wide1,10,4096,697.011,32768
dot,1024,flock,10,4096,881.053,32768
dot,1024,wide4,10,4096,695.536,32768
dot,1024,flock,11,4096,859.060,32768
dot,1024,wide8,11,4096,766.673,32768
dot,1024,wide2,11,4096,695.139,32768
dot,1024,wide4,11,4096,719.655,32768
dot,1024,vec2,11,4096,1712.402,32768
dot,1024,wide16,11,4096,1126.109,32768
dot,1024,wide1,11,4096,714.488,32768
dot,1024,shared,11,4096,871.765,32768
dot,1024,vec2,12,4096,1726.562,32768
dot,1024,wide16,12,4096,1107.188,32768
dot,1024,flock,12,4096,897.817,32768
dot,1024,wide4,12,4096,690.002,32768
dot,1024,shared,12,4096,859.253,32768
dot,1024,wide2,12,4096,726.115,32768
dot,1024,wide8,12,4096,748.698,32768
dot,1024,wide1,12,4096,718.892,32768
dot,1024,wide8,13,4096,735.931,32768
dot,1024,wide2,13,4096,690.267,32768
dot,1024,wide16,13,4096,1116.913,32768
dot,1024,flock,13,4096,859.884,32768
dot,1024,wide1,13,4096,728.353,32768
dot,1024,wide4,13,4096,695.892,32768
dot,1024,vec2,13,4096,1702.800,32768
dot,1024,shared,13,4096,857.880,32768
dot,1024,wide8,14,4096,736.349,32768
dot,1024,wide2,14,4096,695.048,32768
dot,1024,vec2,14,4096,1721.008,32768
dot,1024,wide16,14,4096,1097.646,32768
dot,1024,flock,14,4096,900.228,32768
dot,1024,wide4,14,4096,695.933,32768
dot,1024,wide1,14,4096,699.615,32768
dot,1024,shared,14,4096,877.340,32768
dot,1024,vec2,15,4096,1723.287,32768
dot,1024,wide16,15,4096,1094.116,32768
dot,1024,flock,15,4096,857.646,32768
dot,1024,wide4,15,4096,712.758,32768
dot,1024,shared,15,4096,871.958,32768
dot,1024,wide1,15,4096,721.761,32768
dot,1024,wide8,15,4096,771.566,32768
dot,1024,wide2,15,4096,695.496,32768
dot,1024,wide8,16,4096,775.553,32768
dot,1024,wide1,16,4096,695.099,32768
dot,1024,wide2,16,4096,703.552,32768
dot,1024,wide4,16,4096,714.834,32768
dot,1024,shared,16,4096,857.473,32768
dot,1024,flock,16,4096,869.202,32768
dot,1024,wide16,16,4096,1108.358,32768
dot,1024,vec2,16,4096,1740.987,32768
dot,1024,wide8,17,4096,751.272,32768
dot,1024,shared,17,4096,861.308,32768
dot,1024,flock,17,4096,863.129,32768
dot,1024,wide2,17,4096,724.609,32768
dot,1024,wide4,17,4096,693.136,32768
dot,1024,wide16,17,4096,1141.815,32768
dot,1024,wide1,17,4096,699.860,32768
dot,1024,vec2,17,4096,1720.032,32768
dot,1024,wide8,18,4096,735.992,32768
dot,1024,vec2,18,4096,1714.060,32768
dot,1024,wide16,18,4096,1107.473,32768
dot,1024,wide1,18,4096,731.394,32768
dot,1024,wide4,18,4096,696.594,32768
dot,1024,shared,18,4096,874.573,32768
dot,1024,wide2,18,4096,694.326,32768
dot,1024,flock,18,4096,867.289,32768
dot,1024,wide8,19,4096,743.927,32768
dot,1024,wide16,19,4096,1102.966,32768
dot,1024,wide2,19,4096,705.129,32768
dot,1024,shared,19,4096,858.012,32768
dot,1024,vec2,19,4096,1717.417,32768
dot,1024,wide1,19,4096,694.153,32768
dot,1024,wide4,19,4096,706.370,32768
dot,1024,flock,19,4096,872.101,32768
dot,1024,wide4,20,4096,715.729,32768
dot,1024,wide8,20,4096,771.423,32768
dot,1024,wide16,20,4096,1124.064,32768
dot,1024,wide1,20,4096,743.113,32768
dot,1024,shared,20,4096,879.608,32768
dot,1024,flock,20,4096,883.433,32768
dot,1024,vec2,20,4096,1734.354,32768
dot,1024,wide2,20,4096,709.859,32768
dot,1024,wide2,21,4096,694.743,32768
dot,1024,flock,21,4096,887.095,32768
dot,1024,wide4,21,4096,701.904,32768
dot,1024,shared,21,4096,859.121,32768
dot,1024,wide1,21,4096,705.017,32768
dot,1024,wide16,21,4096,1102.336,32768
dot,1024,vec2,21,4096,1742.523,32768
dot,1024,wide8,21,4096,750.499,32768
dot,1024,wide1,22,4096,694.672,32768
dot,1024,wide4,22,4096,698.476,32768
dot,1024,shared,22,4096,873.586,32768
dot,1024,wide2,22,4096,696.798,32768
dot,1024,wide16,22,4096,1108.286,32768
dot,1024,vec2,22,4096,1766.835,32768
dot,1024,flock,22,4096,876.394,32768
dot,1024,wide8,22,4096,736.989,32768
dot,1024,wide1,23,4096,697.825,32768
dot,1024,wide8,23,4096,744.476,32768
dot,1024,wide4,23,4096,716.542,32768
dot,1024,flock,23,4096,891.256,32768
dot,1024,wide2,23,4096,704.539,32768
dot,1024,vec2,23,4096,1747.213,32768
dot,1024,shared,23,4096,869.741,32768
dot,1024,wide16,23,4096,1148.173,32768
products,1024,flock,0,4096,885.946,49152
products,1024,schoolbook,0,4096,2627.024,49152
products,1024,karatsuba_barrett,0,4096,1608.144,49152
products,1024,karatsuba,0,4096,3092.997,49152
products,1024,shared,0,4096,911.916,49152
products,1024,karatsuba_barrett,1,4096,1601.837,49152
products,1024,shared,1,4096,912.435,49152
products,1024,schoolbook,1,4096,2634.705,49152
products,1024,flock,1,4096,889.058,49152
products,1024,karatsuba,1,4096,3092.916,49152
products,1024,karatsuba,2,4096,3081.014,49152
products,1024,karatsuba_barrett,2,4096,1630.524,49152
products,1024,shared,2,4096,912.791,49152
products,1024,schoolbook,2,4096,2669.077,49152
products,1024,flock,2,4096,867.838,49152
products,1024,shared,3,4096,929.230,49152
products,1024,karatsuba_barrett,3,4096,1639.760,49152
products,1024,karatsuba,3,4096,3231.598,49152
products,1024,schoolbook,3,4096,2625.336,49152
products,1024,flock,3,4096,890.310,49152
products,1024,schoolbook,4,4096,2681.559,49152
products,1024,shared,4,4096,967.601,49152
products,1024,karatsuba_barrett,4,4096,1609.253,49152
products,1024,karatsuba,4,4096,3084.941,49152
products,1024,flock,4,4096,873.932,49152
products,1024,shared,5,4096,961.985,49152
products,1024,flock,5,4096,873.972,49152
products,1024,schoolbook,5,4096,2639.415,49152
products,1024,karatsuba,5,4096,3079.051,49152
products,1024,karatsuba_barrett,5,4096,1618.906,49152
products,1024,flock,6,4096,858.134,49152
products,1024,shared,6,4096,929.993,49152
products,1024,schoolbook,6,4096,2691.142,49152
products,1024,karatsuba_barrett,6,4096,1614.705,49152
products,1024,karatsuba,6,4096,3112.000,49152
products,1024,flock,7,4096,869.090,49152
products,1024,shared,7,4096,911.682,49152
products,1024,karatsuba,7,4096,3082.947,49152
products,1024,schoolbook,7,4096,2640.798,49152
products,1024,karatsuba_barrett,7,4096,1634.369,49152
products,1024,flock,8,4096,866.862,49152
products,1024,karatsuba_barrett,8,4096,1612.142,49152
products,1024,schoolbook,8,4096,2659.658,49152
products,1024,karatsuba,8,4096,3063.365,49152
products,1024,shared,8,4096,920.461,49152
products,1024,schoolbook,9,4096,2653.046,49152
products,1024,karatsuba_barrett,9,4096,1623.057,49152
products,1024,shared,9,4096,911.835,49152
products,1024,flock,9,4096,868.245,49152
products,1024,karatsuba,9,4096,3079.580,49152
products,1024,schoolbook,10,4096,2617.737,49152
products,1024,flock,10,4096,897.583,49152
products,1024,shared,10,4096,921.071,49152
products,1024,karatsuba_barrett,10,4096,1626.943,49152
products,1024,karatsuba,10,4096,3078.969,49152
products,1024,schoolbook,11,4096,2641.398,49152
products,1024,shared,11,4096,912.201,49152
products,1024,karatsuba_barrett,11,4096,1601.705,49152
products,1024,karatsuba,11,4096,3115.122,49152
products,1024,flock,11,4096,877.177,49152
products,1024,shared,12,4096,911.275,49152
products,1024,karatsuba_barrett,12,4096,1598.836,49152
products,1024,flock,12,4096,900.665,49152
products,1024,schoolbook,12,4096,2652.771,49152
products,1024,karatsuba,12,4096,3073.130,49152
products,1024,schoolbook,13,4096,2653.564,49152
products,1024,shared,13,4096,917.837,49152
products,1024,flock,13,4096,891.876,49152
products,1024,karatsuba_barrett,13,4096,1611.511,49152
products,1024,karatsuba,13,4096,3089.152,49152
products,1024,flock,14,4096,886.332,49152
products,1024,karatsuba_barrett,14,4096,1622.986,49152
products,1024,shared,14,4096,922.139,49152
products,1024,karatsuba,14,4096,3105.560,49152
products,1024,schoolbook,14,4096,2624.563,49152
products,1024,karatsuba_barrett,15,4096,1607.748,49152
products,1024,karatsuba,15,4096,3077.393,49152
products,1024,shared,15,4096,911.936,49152
products,1024,flock,15,4096,879.598,49152
products,1024,schoolbook,15,4096,2615.275,49152
products,1024,flock,16,4096,872.355,49152
products,1024,karatsuba,16,4096,3115.814,49152
products,1024,karatsuba_barrett,16,4096,1613.770,49152
products,1024,shared,16,4096,912.008,49152
products,1024,schoolbook,16,4096,2637.746,49152
products,1024,shared,17,4096,926.066,49152
products,1024,karatsuba_barrett,17,4096,1640.625,49152
products,1024,flock,17,4096,864.238,49152
products,1024,karatsuba,17,4096,3116.638,49152
products,1024,schoolbook,17,4096,2635.997,49152
products,1024,karatsuba,18,4096,3080.740,49152
products,1024,flock,18,4096,864.767,49152
products,1024,shared,18,4096,931.986,49152
products,1024,schoolbook,18,4096,2666.616,49152
products,1024,karatsuba_barrett,18,4096,1609.029,49152
products,1024,shared,19,4096,949.219,49152
products,1024,flock,19,4096,866.079,49152
products,1024,schoolbook,19,4096,2642.507,49152
products,1024,karatsuba,19,4096,3089.691,49152
products,1024,karatsuba_barrett,19,4096,1615.346,49152
products,1024,karatsuba_barrett,20,4096,1630.920,49152
products,1024,karatsuba,20,4096,3077.260,49152
products,1024,shared,20,4096,940.389,49152
products,1024,flock,20,4096,875.041,49152
products,1024,schoolbook,20,4096,2631.785,49152
products,1024,flock,21,4096,862.559,49152
products,1024,karatsuba,21,4096,3079.142,49152
products,1024,karatsuba_barrett,21,4096,1609.293,49152
products,1024,shared,21,4096,942.464,49152
products,1024,schoolbook,21,4096,2643.707,49152
products,1024,flock,22,4096,857.341,49152
products,1024,schoolbook,22,4096,2666.087,49152
products,1024,shared,22,4096,906.616,49152
products,1024,karatsuba_barrett,22,4096,1616.923,49152
products,1024,karatsuba,22,4096,3141.022,49152
products,1024,flock,23,4096,863.708,49152
products,1024,karatsuba_barrett,23,4096,1638.356,49152
products,1024,karatsuba,23,4096,3079.590,49152
products,1024,shared,23,4096,913.462,49152
products,1024,schoolbook,23,4096,2624.573,49152
dot,65536,wide16,0,64,69727.859,2097152
dot,65536,wide2,0,64,44054.688,2097152
dot,65536,flock,0,64,56250.000,2097152
dot,65536,wide1,0,64,44759.109,2097152
dot,65536,vec2,0,64,109625.641,2097152
dot,65536,shared,0,64,54815.109,2097152
dot,65536,wide8,0,64,46711.578,2097152
dot,65536,wide4,0,64,46066.406,2097152
dot,65536,wide2,1,64,45353.516,2097152
dot,65536,flock,1,64,54520.188,2097152
